Word,Sender,Hour,Minute,Day,Month,Year,Message,Location,AbsoluteLocation
know,JoeSwanson,21,27,28,07,2014,88,2,461
poor,JoeSwanson,21,27,28,07,2014,88,3,462
ahhh,JoeSwanson,21,27,28,07,2014,89,1,464
date,JoeSwanson,21,27,28,07,2014,89,6,469
perhaps,JoeSwanson,21,27,28,07,2014,90,1,470
friendship,JoeSwanson,21,27,28,07,2014,90,3,472
continue,JoeSwanson,21,27,28,07,2014,90,5,474
yet,JoeSwanson,21,27,28,07,2014,90,6,475
yeah,Ganrer,21,27,28,07,2014,91,1,476
golden,Ganrer,21,27,28,07,2014,91,6,481
coming,Ganrer,21,27,28,07,2014,91,7,482
haha,Ganrer,21,27,28,07,2014,92,1,483
thinking,Ganrer,21,27,28,07,2014,92,6,488
page,JoeSwanson,21,28,28,07,2014,93,2,490
like,Ganrer,21,29,28,07,2014,94,1,494
340,Ganrer,21,29,28,07,2014,94,2,495
374,Ganrer,21,29,28,07,2014,95,1,496
sweet,JoeSwanson,21,29,28,07,2014,96,1,497
pen,JoeSwanson,21,29,28,07,2014,96,4,500
also,Ganrer,21,30,28,07,2014,97,1,502
loving,Ganrer,21,30,28,07,2014,97,3,504
boom,Ganrer,21,30,28,07,2014,97,4,505
beach,Ganrer,21,30,28,07,2014,97,5,506
stopped,Ganrer,21,30,28,07,2014,98,2,508
playing,Ganrer,21,30,28,07,2014,98,3,509
sconce,Ganrer,21,30,28,07,2014,98,4,510
got,Ganrer,21,30,28,07,2014,98,6,512
gets,JoeSwanson,21,52,28,07,2014,99,2,515
really,JoeSwanson,21,52,28,07,2014,99,3,516
fun,JoeSwanson,21,52,28,07,2014,99,4,517
attack,JoeSwanson,21,52,28,07,2014,99,6,519
people,JoeSwanson,21,52,28,07,2014,99,7,520
going,Ganrer,22,42,28,07,2014,100,2,522
better,Ganrer,22,42,28,07,2014,100,4,524
done,JoeSwanson,22,45,28,07,2014,101,3,531
appears,Ganrer,22,55,28,07,2014,102,2,533
ehat,Ganrer,22,55,28,07,2014,102,5,536
unaware,Ganrer,22,55,28,07,2014,102,6,537
what's,Ganrer,22,55,28,07,2014,102,8,539
amusing,Ganrer,22,55,28,07,2014,102,10,541
find,JoeSwanson,22,55,28,07,2014,104,3,546
face,JoeSwanson,22,55,28,07,2014,104,5,548
funny,JoeSwanson,22,55,28,07,2014,104,6,549
we're,Ganrer,23,13,28,07,2014,106,1,551
alike,Ganrer,23,13,28,07,2014,106,3,553
certain,JoeSwanson,23,21,28,07,2014,107,3,556
extent,JoeSwanson,23,21,28,07,2014,107,4,557
good,JoeSwanson,23,21,28,07,2014,108,6,563
qualities,JoeSwanson,23,21,28,07,2014,108,7,564
_,Ganrer,23,22,28,07,2014,110,1,568
know,Ganrer,23,22,28,07,2014,111,2,570
nothing,Ganrer,23,22,28,07,2014,111,3,571
',JoeSwanson,23,31,28,07,2014,112,1,572
lol,JoeSwanson,23,31,28,07,2014,112,2,573
rutting,Ganrer,23,32,28,07,2014,113,2,575
commence,Ganrer,23,32,28,07,2014,113,4,577
home,Ganrer,23,32,28,07,2014,113,7,580
furious,JoeSwanson,23,32,28,07,2014,114,1,581
spooning,JoeSwanson,23,32,28,07,2014,114,2,582
must,JoeSwanson,23,32,28,07,2014,114,5,585
wow,JoeSwanson,23,45,28,07,2014,115,1,587
know,JoeSwanson,23,45,28,07,2014,116,2,589
screen,JoeSwanson,23,45,28,07,2014,116,5,592
shot,JoeSwanson,23,45,28,07,2014,116,6,593
also,JoeSwanson,23,45,28,07,2014,116,7,594
appears,JoeSwanson,23,45,28,07,2014,116,9,596
within,JoeSwanson,23,45,28,07,2014,117,3,599
weeks,JoeSwanson,23,45,28,07,2014,117,6,602
prom,JoeSwanson,23,45,28,07,2014,117,8,604
go,Ganrer,16,06,29,07,2014,118,4,608
fairs,JoeSwanson,16,06,29,07,2014,119,2,610
well,JoeSwanson,16,06,29,07,2014,119,3,611
northern,JoeSwanson,16,06,29,07,2014,119,6,614
front,JoeSwanson,16,06,29,07,2014,119,7,615
sunny,JoeSwanson,16,06,29,07,2014,120,3,618
espaol,JoeSwanson,16,06,29,07,2014,120,4,619
yes,Ganrer,19,05,29,07,2014,121,1,620
fact,Ganrer,19,05,29,07,2014,121,4,623
believe,Ganrer,19,05,29,07,2014,121,5,624
actually,Ganrer,19,05,29,07,2014,121,10,629
tanning,Ganrer,19,05,29,07,2014,121,11,630
kind,Ganrer,19,05,29,07,2014,122,1,631
call,JoeSwanson,19,21,29,07,2014,123,2,634
reddening,JoeSwanson,19,21,29,07,2014,123,4,636
jape,JoeSwanson,19,21,29,07,2014,124,2,638
sweet,JoeSwanson,19,21,29,07,2014,124,3,639
brother,JoeSwanson,19,21,29,07,2014,124,4,640
appear,Ganrer,19,00,31,07,2014,125,3,643
dance,Ganrer,19,00,31,07,2014,125,4,644
1,Ganrer,19,00,31,07,2014,125,5,645
done,Ganrer,19,00,31,07,2014,125,9,649
read,Ganrer,19,00,31,07,2014,126,4,653
begins,Ganrer,19,00,31,07,2014,126,5,654
dance,Ganrer,19,01,31,07,2014,127,7,661
3,Ganrer,19,01,31,07,2014,127,8,662
2,Ganrer,19,01,31,07,2014,128,1,663
begins,JoeSwanson,20,42,31,07,2014,129,5,668
thus,JoeSwanson,20,42,31,07,2014,130,2,670
dance,JoeSwanson,20,42,31,07,2014,130,4,672
gas,JoeSwanson,20,42,31,07,2014,130,5,673
reached,JoeSwanson,20,42,31,07,2014,130,6,674
midpoint,JoeSwanson,20,42,31,07,2014,130,8,676
knew,Ganrer,21,15,31,07,2014,132,4,681
dance,Ganrer,21,15,31,07,2014,132,6,683
